name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2011-12-15,47,39.8,43.6,41.1,34.4,37.2,36.6,76.6,0.01,100,4.17,rain,,51.6,36.9,23.5,214.4,996.9,0.2,20.7,38.1,3.3,2,,2011-12-15T07:59:27,2011-12-15T15:51:26,0.62,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-16,41.1,36.2,39,34.5,28.3,31.6,35.3,86.7,0.41,100,12.5,rain,,,,15.8,238.5,988.3,0.3,15.7,25.6,2.2,1,,2011-12-16T08:00:17,2011-12-16T15:51:35,0.67,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-17,42.5,32.3,37.9,36.1,25.8,31.6,34.2,86.5,0.02,100,4.17,rain,,,,12.4,284.7,1008.7,0.2,16.2,21.5,1.8,1,,2011-12-17T08:01:03,2011-12-17T15:51:48,0.72,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-18,42.5,31.2,36.3,36.4,25.3,30.3,31.7,83.6,0,0,0,,,,,13.6,290.8,1016.6,0.1,20.4,25.5,2.3,1,,2011-12-18T08:01:47,2011-12-18T15:52:04,0.78,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-19,44,30.5,38.2,39.4,27.2,34.2,37.1,95.9,0.16,100,4.17,rain,,0.8,,10.1,226.5,1014.5,0.3,9,8.1,0.7,0,,2011-12-19T08:02:27,2011-12-19T15:52:24,0.84,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-20,47.9,42.2,44.4,41.8,35.5,39.4,39,81.7,0,0,0,,,,,15.5,272.2,1015.4,0.2,20.7,31.3,2.9,2,,2011-12-20T08:03:05,2011-12-20T15:52:47,0.89,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-21,54.2,43.1,49.5,54.2,39.7,48,47.9,94.3,0.03,100,4.17,rain,,,,10.7,253,1018,0.3,10.3,20.2,1.7,1,,2011-12-21T08:03:39,2011-12-21T15:53:13,0.94,Rain,Clear conditions throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-22,54.2,45.8,50.5,54.2,41.1,49.2,46.9,87.6,0.01,100,4.17,rain,,,,12.3,253.8,1024.9,0.1,15.4,42.6,3.7,2,,2011-12-22T08:04:10,2011-12-22T15:53:42,0.97,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-23,53,42.2,49.8,53,35,47.6,45.1,84,0.16,100,4.17,rain,,,47.2,20.2,242.5,1017.8,0.4,17.4,18.2,1.7,1,,2011-12-23T08:04:38,2011-12-23T15:54:15,0.99,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-24,47.4,38,43.1,42.3,31.8,37.1,37.4,80.2,0,0,0,,,,,14.4,252,1028.3,0.2,19.1,32.9,3,2,,2011-12-24T08:05:02,2011-12-24T15:54:51,1,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-25,53.9,47.9,51.6,53.9,42.9,50.8,46.5,82.7,0.02,100,4.17,rain,,,,17.4,231.8,1028.6,0.3,23.8,29.3,2.5,1,,2011-12-25T08:05:24,2011-12-25T15:55:31,0,Rain,Clear conditions throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-26,55.7,50.3,53.2,55.7,50.3,53.2,48.3,83.6,0,0,0,,,,,15.3,232.8,1033.2,0.3,21.8,16.6,1.3,1,,2011-12-26T08:05:41,2011-12-26T15:56:13,0.02,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-27,51.2,46.7,50.2,51.2,42,49.3,42,73.4,0,0,0,,,,,13,221.6,1032.8,0.2,23.1,17.8,1.4,1,,2011-12-27T08:05:56,2011-12-27T15:56:59,0.05,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-28,52.4,43.1,48.4,52.4,35.8,45,41.2,76.4,0,0,0,,,,30,17.3,237.2,1021.5,0.3,17.1,21.8,2.1,1,,2011-12-28T08:06:07,2011-12-28T15:57:47,0.08,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-29,50.3,41.6,45.5,50.3,33.9,39.3,38.2,75.6,0.16,100,4.17,rain,,,35.8,19.1,257.6,1020.7,0.4,16.7,18.8,1.6,1,,2011-12-29T08:06:15,2011-12-29T15:58:39,0.12,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-30,51,42.2,44.3,51,36.1,39.2,39.9,85,0.13,100,8.33,rain,,,,15.3,247.7,1017,28.7,11.9,27.5,2.4,2,,2011-12-30T08:06:19,2011-12-30T15:59:34,0.17,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2011-12-31,54.8,51.5,52.9,54.8,51.5,52.9,50,89.9,0.08,100,4.17,rain,,,,15.7,249.3,1010.1,48.2,25.9,21,1.7,1,,2011-12-31T08:06:20,2011-12-31T16:00:31,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-01,55.5,45.6,52.2,55.5,39.7,50.8,49.1,89.5,0.34,100,8.33,rain,,,,16.4,226,1004.9,13.2,18.2,10.3,0.9,1,,2012-01-01T08:06:18,2012-01-01T16:01:32,0.26,Rain,Clear conditions throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-02,46.1,39.8,42.8,41,33.6,37,37.2,80.7,0.43,100,8.33,rain,,,,16.8,231.9,1008.6,4.4,21,31.2,2.8,2,,2012-01-02T08:06:12,2012-01-02T16:02:35,0.31,Rain,Clear conditions throughout the day with rain clearing later.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-03,54.6,42.5,48.1,54.6,35.8,43,42.7,81.9,0.33,100,12.5,rain,,,56.4,31.8,232.3,1003.4,12.4,13.5,13.5,1.2,1,,2012-01-03T08:06:03,2012-01-03T16:03:41,0.35,Rain,Clear conditions throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-04,49.4,41.6,45.1,41.3,33.4,37.6,38.4,77.5,0,0,0,,,,46.3,29.4,252.2,1014.3,0.4,15.4,20.8,1.7,1,,2012-01-04T08:05:51,2012-01-04T16:04:49,0.39,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-05,53,45.6,49.9,53,39.4,47.4,39.8,68.6,0.18,100,8.33,rain,,,54.7,32.4,285.8,1005,0.3,19.9,42,3.7,2,,2012-01-05T08:05:35,2012-01-05T16:06:00,0.43,Rain,Clear conditions throughout the day with rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-06,48.8,40.7,45.3,43.3,36.4,40.3,38.5,77.2,0,0,0,,,,,14.5,275.1,1023.8,0.2,17.4,53.1,4.7,3,,2012-01-06T08:05:16,2012-01-06T16:07:14,0.46,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-07,51.2,46.5,49.4,51.2,41.3,46.7,40.3,71.8,0,0,0,,,,,16.6,271.7,1021.9,0.3,20,48.5,4.2,3,,2012-01-07T08:04:54,2012-01-07T16:08:30,0.48,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-08,49.7,46.7,48.2,47.2,42.8,44.7,40.5,74.8,0,0,0,,,,,9.1,271.3,1026.7,0.2,21.5,42,3.5,2,,2012-01-08T08:04:28,2012-01-08T16:09:48,0.5,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-09,54.8,46.5,50.7,54.8,42.8,49.3,46.1,84.5,0.01,100,4.17,rain,,,,15,252.9,1029.7,0.2,16.7,41,3.4,3,,2012-01-09T08:03:59,2012-01-09T16:11:08,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-10,52.8,48.8,50.7,52.8,45.7,49.6,46.7,86.3,0,0,0,,,,,12.5,243.5,1033.3,0.3,20,27,2.4,1,,2012-01-10T08:03:27,2012-01-10T16:12:30,0.51,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-11,52.4,45.2,49,52.4,41.3,46.6,44.1,83.1,0.02,100,4.17,rain,,,,11.6,244.7,1033.1,0.1,21.2,29.6,2.6,2,,2012-01-11T08:02:52,2012-01-11T16:13:55,0.53,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-12,55.1,42.5,48.6,55.1,39.4,45.3,42.2,79.2,0,0,0,,,,,16.8,271.6,1028,0.2,19.5,26.3,2.2,1,,2012-01-12T08:02:14,2012-01-12T16:15:21,0.56,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-13,44,36.2,40.6,42,34.1,38.7,35.2,81.3,0,0,0,,,,,7.1,185.3,1033,0.1,11.5,53.8,4.5,3,,2012-01-13T08:01:33,2012-01-13T16:16:50,0.6,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-14,43.4,29.5,36.9,43.4,29.5,35.4,32.7,85.6,0,0,0,,,0.8,,5.8,125,1030.1,0,8.8,56.8,4.9,3,,2012-01-14T08:00:48,2012-01-14T16:18:20,0.65,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-15,43.4,34.9,38.7,37.5,30.1,33.9,31.6,76,0.01,100,4.17,rain,,,,13,96.4,1024.8,0,12.9,60.2,5.3,3,,2012-01-15T08:00:01,2012-01-15T16:19:52,0.7,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-16,44.3,34.8,38.2,40.1,29.6,34,29.3,71.3,0,0,0,,,0.8,,8.9,80.4,1025.4,0.1,12.5,63.3,5.6,3,,2012-01-16T07:59:11,2012-01-16T16:21:25,0.76,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-17,43.4,29.9,37.4,42.9,26,35.4,32.6,83.4,0,0,0,,,0.8,,6.1,160.7,1027.7,0.1,8.9,48.7,4,3,,2012-01-17T07:58:18,2012-01-17T16:23:00,0.82,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-18,53.9,41.3,49.1,53.9,36.6,46.6,47.1,92.7,0.03,100,8.33,rain,,,30,14,218.8,1024,0.3,6.6,15.4,1.4,1,,2012-01-18T07:57:22,2012-01-18T16:24:36,0.87,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-19,53,44.9,49.7,53,38.2,47.2,45.3,85.2,0.32,100,8.33,rain,,,38,17.4,260.7,1018.9,0.3,21.6,32.9,2.8,2,,2012-01-19T07:56:23,2012-01-19T16:26:14,0.92,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-20,51.2,41.3,46.5,51.2,34.7,41,39.9,77.6,0,0,0,,,,,19.1,264.5,1019.6,0.3,17,24.4,2.1,1,,2012-01-20T07:55:21,2012-01-20T16:27:53,0.96,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-21,54.8,46.1,50.9,54.8,40.1,48.9,43,74.7,0.01,100,4.17,rain,,,39.9,20.7,269.6,1012.8,0.4,21,34.1,2.9,2,,2012-01-21T07:54:17,2012-01-21T16:29:33,0.99,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-22,53.7,43.1,47.7,53.7,35.8,43.6,37.2,67.5,0.01,100,4.17,rain,,,35.8,18.9,276.7,1014.6,0.3,17.6,40.3,3.6,2,,2012-01-22T07:53:10,2012-01-22T16:31:15,1,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-23,47.6,38.9,43.8,42.8,35.4,39,37.1,77.5,0,0,0,,,,,11.5,271.5,1019.1,0.2,19,61.9,5.4,3,,2012-01-23T07:52:01,2012-01-23T16:32:57,0,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-24,50.1,36.2,43,50.1,31.7,40.1,42,96.1,0.2,100,4.17,rain,,,,9,226.6,1019.4,0.3,6.5,8.3,0.7,0,,2012-01-24T07:50:49,2012-01-24T16:34:40,0.01,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-25,50.3,47.6,49.2,50.3,42.4,46.2,46,88.9,0,0,0,,,,,15.6,217.5,1015.3,0.3,14.4,42.6,3.8,3,,2012-01-25T07:49:35,2012-01-25T16:36:25,0.03,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-26,50.2,38.6,45.8,50.2,32.7,40.6,39.6,79.3,0.02,100,4.17,rain,,,,21.2,212.9,1009.2,0.2,20.3,36.7,3.2,2,,2012-01-26T07:48:18,2012-01-26T16:38:10,0.05,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-27,47.9,38,41.8,43.2,32,36.9,35,77.7,0,0,0,,,,,12.5,235,1019.3,0.1,20.2,70.3,6,3,,2012-01-27T07:46:59,2012-01-27T16:39:55,0.09,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-28,44.7,39.3,41.1,39.9,34.2,36.8,36.5,83.8,0,0,0,,,,,9,87.2,1028.1,0.2,11.5,50.3,4.4,3,,2012-01-28T07:45:37,2012-01-28T16:41:42,0.13,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-29,41.3,35.7,38.4,38.1,30.9,34.5,35.1,88.1,0,0,0,,,,,9.2,43.3,1030.8,0.2,5.3,46.4,4,3,,2012-01-29T07:44:13,2012-01-29T16:43:29,0.17,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-30,39.8,34.4,37.4,38.4,31.9,35,30.9,77.5,0.01,100,4.17,rain,,,,6.2,114,1026.1,0.2,7.4,61.1,5.3,3,,2012-01-30T07:42:48,2012-01-30T16:45:16,0.22,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-01-31,36.8,32.2,35.2,34.6,27.6,30.6,30.3,82.3,0.01,100,4.17,"rain,snow",,,,10.1,43.5,1026.2,0.2,3.6,47,4.1,2,,2012-01-31T07:41:19,2012-01-31T16:47:04,0.27,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-01,38.9,31.4,34.4,30.1,21.9,25.6,23.8,65.7,0,0,0,,,,32.2,17.6,50.7,1032.3,0.1,12.4,83.9,7.2,4,,2012-02-01T07:39:49,2012-02-01T16:48:53,0.31,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-02,35.3,29.9,31.8,26.1,21.4,23.3,18,56.9,0,0,0,,,,32.2,15.1,42.3,1035.8,0,21.9,88.7,7.6,4,,2012-02-02T07:38:17,2012-02-02T16:50:42,0.36,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-03,35.3,28.6,31.7,29.5,22.5,26.4,21.1,64.8,0,0,0,,,0.8,,7.7,172.3,1039.3,0.1,16.3,80.7,6.7,4,,2012-02-03T07:36:43,2012-02-03T16:52:31,0.4,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-04,34.1,27.5,30.9,29.9,21.5,25.7,25,79.1,0,0,0,,,1,28.9,11.6,193.4,1036.1,0.2,5.7,75,6.5,4,,2012-02-04T07:35:07,2012-02-04T16:54:21,0.44,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-05,36.2,32.3,34.1,36.2,23.8,31.5,33,95.6,0.25,100,12.5,"rain,snow",,2.5,32.2,10.4,184.6,1027.4,0.3,2.7,40.1,3.4,2,,2012-02-05T07:33:29,2012-02-05T16:56:10,0.47,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-06,41.1,34.4,37.1,40.7,32.2,36.1,34.7,91.3,0.16,100,8.33,"rain,snow",,1.4,,5,143.1,1033.1,0.3,2.7,37.2,3.2,2,,2012-02-06T07:31:49,2012-02-06T16:58:00,0.49,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-07,38,27.8,33.7,35.9,18.5,28.4,25.9,73.5,0,0,0,,,1.1,,11.6,96.2,1039.9,0.2,9.3,78.9,6.8,3,,2012-02-07T07:30:08,2012-02-07T16:59:50,0.5,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-08,34.1,29,32.2,26.4,20.6,24.3,25.3,75.7,0,0,0,,,1.2,,10.9,36.5,1041,0.2,12.8,57.9,4.9,2,,2012-02-08T07:28:24,2012-02-08T17:01:40,0.5,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-09,36.2,30.8,33.3,35.8,25.1,30.1,27.5,79.5,0,0,0,,,1.2,,6.8,124.5,1039.3,0.3,7.9,61.8,5.3,3,,2012-02-09T07:26:40,2012-02-09T17:03:30,0.52,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-10,34.8,29.3,32.3,30.8,26,27.9,26.6,80.4,0.04,100,4.17,"rain,snow",,1.1,,8.5,104.2,1038.2,0.1,6.5,92.9,8,4,,2012-02-10T07:24:53,2012-02-10T17:05:20,0.54,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-11,36.7,25,30.2,33,25,28.8,23,74.9,0,0,0,,,1,,5,132.1,1036.9,0,4.3,104.9,8.9,4,,2012-02-11T07:23:05,2012-02-11T17:07:11,0.59,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-12,42,26.3,34.3,38.1,23.8,31.8,30.8,86.8,0.01,100,4.17,snow,,1.1,,7.6,295.2,1034.7,0.3,3.1,39.7,3.6,2,,2012-02-12T07:21:15,2012-02-12T17:09:01,0.63,Snow,Clear conditions throughout the day with morning snow.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-13,44.7,34.1,40.4,40.1,30,35.6,37.4,89.2,0.02,100,4.17,rain,,0.9,,12.3,302.1,1027.6,0.3,7.7,30.7,2.6,1,,2012-02-13T07:19:24,2012-02-13T17:10:51,0.69,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-14,47.9,41.3,44.3,43.7,34.6,38.7,36.6,74.6,0,0,0,,,,,13.2,328.5,1024.8,0.3,14.7,55.6,5,3,,2012-02-14T07:17:32,2012-02-14T17:12:40,0.74,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-15,52.1,44.9,48.5,52.1,39,44.9,39.7,72.2,0,0,0,,,,,15.5,320.1,1025.4,0.2,17.7,105.2,9,4,,2012-02-15T07:15:38,2012-02-15T17:14:30,0.8,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-16,51.9,42.2,46.9,51.9,38.5,43.8,38.7,73.6,0.01,100,4.17,rain,,,,12.1,285.8,1027.6,0.2,18.5,77.2,6.6,4,,2012-02-16T07:13:43,2012-02-16T17:16:20,0.85,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-17,53.7,44.9,49.3,53.7,41.4,47.6,44.6,84,0.01,100,4.17,rain,,,,14.8,249.5,1023.3,0.3,11.9,33.7,3,1,,2012-02-17T07:11:46,2012-02-17T17:18:09,0.9,Rain,Clear conditions throughout the day with morning rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-18,52.4,38.6,46.6,52.4,31.4,41.6,40,78.4,0.12,100,4.17,rain,,,36.9,20.5,249.5,1012.8,0.3,23.9,51.7,4.4,3,,2012-02-18T07:09:49,2012-02-18T17:19:58,0.94,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-19,44.3,35.3,39.5,38.8,28.7,34.1,27,61.9,0,0,0,,,,,13.9,300.4,1024.3,0,22.9,104.9,9,4,,2012-02-19T07:07:50,2012-02-19T17:21:47,0.97,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-20,47.6,29,39.2,42.1,27.1,35.7,29.4,69.9,0,0,0,,,,,13.8,206.8,1032.2,0.2,19.6,116.5,10.1,5,,2012-02-20T07:05:50,2012-02-20T17:23:36,0.99,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2012-02-21,53.9,43.1,47.9,53.9,37.7,44.7,40.3,75.5,0.02,100,4.17,rain,,,,15.6,232.8,1029,0.2,19.8,95.6,8.2,4,,2012-02-21T07:03:48,2012-02-21T17:25:25,1,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
